基金代码,基金名称,类型
159766,旅游ETF,板块
512690,酒ETF,板块
159928,消费ETF,板块
515220,煤炭ETF,板块
159992,创新药ETF,板块
512010,医药ETF,板块
512290,生物医药ETF,板块
512800,银行ETF,板块
515080,中证红利ETF,板块
513500,标普500ETF,板块
512880,证券ETF,板块
510880,红利ETF,板块
512000,券商ETF,板块
159930,能源ETF,板块
516950,基建ETF,板块
516970,基建50ETF,板块
512170,医疗ETF,板块
513330,恒生互联网ETF,板块
159825,农业ETF,板块
510050,上证50ETF,板块
513050,中概互联网ETF,板块
512980,传媒ETF,板块
510300,沪深300ETF,板块
515210,钢铁ETF,板块
510410,资源ETF,板块
512400,有色金属ETF,板块
516010,游戏ETF,板块
159755,电池ETF,板块
515880,通信ETF,板块
159949,创业板50ETF,板块
159870,化工ETF,板块
159915,易方达创业板ETF,板块
512580,碳中和龙头ETF,板块
515050,5GETF,板块
515030,新能源车ETF,板块
510500,中证500ETF,板块
159967,创成长ETF,板块
512100,中证1000ETF,板块
515700,新能车ETF,板块
516160,新能源ETF,板块
561800,稀有金属ETF基金,板块
516780,稀土ETF,板块
512710,军工龙头ETF,板块
512660,军工ETF,板块
515790,光伏ETF,板块
512670,国防ETF,板块
588000,科创50ETF,板块
159995,芯片ETF,板块
512480,半导体ETF,板块
512760,半导体芯片ETF,板块
002207,前海开源金银珠宝混合C,自选
025500,东方阿尔法科技智选混合发起C,自选
006503,财通集成电路产业股票C,自选
290008,泰信发展主题混合,自选
004433,南方有色金属ETF联接C,自选
007776,汇安量化先锋混合C,自选
011452,华泰柏瑞质量成长C,自选
011609,易方达上证科创50联接C,自选
011686,创金合信先进装备股票C,自选
257070,国联安优选行业混合A,自选
012922,易方达全球成长精选混合(QDII)人民币C,自选
013496,信澳产业优选一年持有混合C,自选
016371,信澳业绩驱动混合C,自选
016665,天弘全球高端制造混合(QDII)C,自选
016874,广发远见智选混合C,自选
008984,财通科技创新混合C,自选
017731,嘉实全球产业升级股票发起式(QDII)C,自选
018230,易方达全球优质企业混合(QDII)C(人民币份额),自选
020412,永赢中证沪深港黄金产业股票ETF发起联接C,自选
025881,汇添富科技领先混合C,自选
018147,建信新兴市场混合(QDII)C,自选
006810,泰康香港银行指数C,自选
021662,国富亚洲机会股票(QDII)C,自选
017811,东方人工智能主题混合C,自选
501205,鹏华创新未来混合(LOF)C,自选
